Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
8/31/2018,82022,54982,WI,,Waushara,Wautoma,9299,132900,0.001507159,0.007581501,0.047281324,0.035152442,0.010338819,2006-01,2006-Q1,133700,-0.005983545,2005-11
8/31/2018,91049,75706,TX,Tyler,Smith,Tyler,9300,120400,0.005008347,0.023809524,0.156580211,0.068370963,0.035186713,2018-08,2018-Q3,120400,0,2018-08
8/31/2018,94415,84050,UT,Ogden-Clearfield,Morgan,Morgan,9301,399400,-0.001250313,0.013705584,0.104840941,0.084363194,0.009379631,2018-07,2018-Q3,399900,-0.001250313,2018-06
8/31/2018,60375,6525,CT,New Haven-Milford,New Haven,Woodbridge,9302,398100,-0.002505638,-0.00499875,0.023656467,0.007028495,-0.018103946,2006-05,2006-Q2,511200,-0.221244131,2003-04
8/31/2018,67979,24091,VA,Blacksburg-Christiansburg-Radford,Floyd,Floyd,9303,136800,0.000731529,-0.00073046,0.019374069,0.015481544,0.004271424,2009-08,2009-Q3,151600,-0.09762533,2008-12
8/31/2018,66092,19938,DE,Dover,Kent,Clayton,9304,235000,0,0.00170503,0.022628372,0.051815954,,2018-08,2018-Q3,235000,0,2018-08
8/31/2018,87090,66085,KS,Kansas City,Johnson,Overland Park,9305,416300,0.000721154,0.008478682,0.045717156,0.052975034,0.025478055,2018-08,2018-Q3,416300,0,2018-08
8/31/2018,90743,75167,TX,Dallas-Fort Worth-Arlington,Ellis,Waxahachie,9306,292800,-0.002385009,0.009655172,0.140186916,0.098440521,0.040582867,2018-07,2018-Q3,293500,-0.002385009,2018-06
8/31/2018,59257,3865,NH,Boston-Cambridge-Newton,Rockingham,Plaistow,9307,288800,-0.001383126,0.003126085,0.042975804,0.070441061,0.020934836,2018-06,2018-Q2,289400,-0.002073255,2018-06
8/31/2018,91231,76078,TX,Dallas-Fort Worth-Arlington,Wise,New Fairview,9308,226700,-0.002639683,0.013410818,0.086768936,0.055189817,0.026751332,2018-07,2018-Q3,227300,-0.002639683,2018-07
8/31/2018,60814,7825,NJ,Allentown-Bethlehem-Easton,Warren,Blairstown,9309,291300,-0.002738788,-0.004442925,0.003444712,0.022358221,-0.017197848,2006-10,2006-Q4,377800,-0.22895712,2003-07
8/31/2018,78371,46962,IN,Wabash,Wabash,North Manchester,9310,108800,-0.000918274,0.011152416,0.071921182,0.035015096,0.013123881,2018-07,2018-Q3,108900,-0.000918274,2018-07
8/31/2018,80266,50273,IA,Des Moines-West Des Moines,Madison,Winterset,9311,159700,-0.001250782,0.001882058,0.031653747,0.04964139,0.023384145,2018-07,2018-Q3,159900,-0.001250782,2018-07
8/31/2018,64593,16417,PA,Erie,Erie,Girard,9312,126000,0,0.003184713,0.036184211,0.01135533,0.018253658,2018-08,2018-Q3,126000,0,2018-08
8/31/2018,98385,95694,CA,Sacramento--Roseville--Arden-Arcade,Yolo,Winters,9313,404000,-0.001729676,-0.005660842,0.01,0.099266629,0.025917331,2006-04,2006-Q2,453200,-0.108561342,2005-04
8/31/2018,61621,10007,NY,New York-Newark-Jersey City,New York,New York,9314,2726700,0.000991189,-0.005797419,0.031005407,0.05442599,0.044272682,2015-09,2015-Q3,2865300,-0.048371898,2015-04
8/31/2018,93820,81621,CO,Edwards,Eagle,Basalt,9315,692000,-0.002881844,0.019596287,0.116669356,0.089282943,0.000332931,2008-03,2008-Q1,729000,-0.050754458,2007-10
8/31/2018,73298,35062,AL,Birmingham-Hoover,Walker,Dora,9316,118300,0.000846024,0.007666099,0.201015228,0.032580753,0.013697463,2010-08,2010-Q3,158100,-0.251739405,
8/31/2018,77101,44270,OH,Wooster,Wayne,Rittman,9317,112100,0.000892857,0.005381166,0.064577398,0.028374123,0.008365233,2018-08,2018-Q3,112100,0,2018-08
8/31/2018,82035,55009,MN,Red Wing,Goodhue,Cannon Falls,9318,227000,0,-0.010030528,0.0248307,0.055411373,0.012782349,2018-04,2018-Q2,229400,-0.010462075,2018-01
